V1	V(vd1)	I(D1)
-9.090000000000001e+01	-4.291875e+01	-4.798124e-02
-9.080000000000000e+01	-4.291394e+01	-4.788606e-02
-9.070000000000000e+01	-4.290912e+01	-4.779088e-02
-9.059999999999999e+01	-4.290431e+01	-4.769569e-02
-9.050000000000000e+01	-4.289949e+01	-4.760051e-02
-9.040000000000001e+01	-4.289468e+01	-4.750532e-02
-9.030000000000000e+01	-4.288986e+01	-4.741014e-02
-9.020000000000000e+01	-4.288504e+01	-4.731496e-02
-9.009999999999999e+01	-4.288023e+01	-4.721978e-02
-9.000000000000000e+01	-4.287541e+01	-4.712459e-02
-8.990000000000001e+01	-4.287059e+01	-4.702941e-02
-8.980000000000000e+01	-4.286578e+01	-4.693422e-02
-8.970000000000000e+01	-4.286096e+01	-4.683904e-02
-8.959999999999999e+01	-4.285614e+01	-4.674386e-02
-8.950000000000000e+01	-4.285133e+01	-4.664868e-02
-8.940000000000001e+01	-4.284651e+01	-4.655349e-02
-8.930000000000000e+01	-4.284169e+01	-4.645831e-02
-8.920000000000000e+01	-4.283687e+01	-4.636313e-02
-8.909999999999999e+01	-4.283205e+01	-4.626795e-02
-8.900000000000000e+01	-4.282724e+01	-4.617276e-02
-8.890000000000001e+01	-4.282242e+01	-4.607758e-02
-8.880000000000000e+01	-4.281760e+01	-4.598240e-02
-8.870000000000000e+01	-4.281278e+01	-4.588722e-02
-8.859999999999999e+01	-4.280796e+01	-4.579204e-02
-8.850000000000000e+01	-4.280315e+01	-4.569685e-02
-8.840000000000001e+01	-4.279833e+01	-4.560167e-02
-8.830000000000000e+01	-4.279351e+01	-4.550649e-02
-8.820000000000000e+01	-4.278869e+01	-4.541131e-02
-8.809999999999999e+01	-4.278387e+01	-4.531613e-02
-8.800000000000000e+01	-4.277905e+01	-4.522095e-02
-8.790000000000001e+01	-4.277423e+01	-4.512576e-02
-8.780000000000000e+01	-4.276942e+01	-4.503058e-02
-8.770000000000000e+01	-4.276460e+01	-4.493540e-02
-8.759999999999999e+01	-4.275978e+01	-4.484022e-02
