V2	V(n002)	I(R2)
Step Information: Vbb=0  (Step: 1/26)
5.500000000000000e+00	5.500000e+00	5.628204e-12
5.600000000000001e+00	5.600000e+00	5.728217e-12
5.700000000000000e+00	5.700000e+00	5.828229e-12
5.800000000000001e+00	5.800000e+00	5.928242e-12
5.900000000000000e+00	5.900000e+00	6.028253e-12
6.000000000000000e+00	6.000000e+00	6.128265e-12
6.100000000000001e+00	6.100000e+00	6.228275e-12
6.200000000000000e+00	6.200000e+00	6.328290e-12
6.300000000000001e+00	6.300000e+00	6.428299e-12
6.400000000000000e+00	6.400000e+00	6.528311e-12
6.500000000000000e+00	6.500000e+00	6.628323e-12
6.600000000000001e+00	6.600000e+00	6.728335e-12
6.700000000000000e+00	6.700000e+00	6.828347e-12
6.800000000000001e+00	6.800000e+00	6.928358e-12
6.900000000000000e+00	6.900000e+00	7.028368e-12
7.000000000000000e+00	7.000000e+00	7.128385e-12
7.100000000000001e+00	7.100000e+00	7.228394e-12
7.200000000000000e+00	7.200000e+00	7.328406e-12
7.300000000000001e+00	7.300000e+00	7.428418e-12
7.400000000000000e+00	7.400000e+00	7.528430e-12
7.500000000000000e+00	7.500000e+00	7.628440e-12
7.600000000000001e+00	7.600000e+00	7.728456e-12
7.700000000000000e+00	7.700000e+00	7.828464e-12
7.800000000000001e+00	7.800000e+00	7.928476e-12
7.900000000000000e+00	7.900000e+00	8.028489e-12
8.000000000000000e+00	8.000000e+00	8.128500e-12
8.100000000000000e+00	8.100000e+00	8.228513e-12
8.200000000000001e+00	8.200000e+00	8.328525e-12
8.300000000000001e+00	8.300000e+00	8.428534e-12
8.400000000000000e+00	8.400000e+00	8.528549e-12
8.500000000000000e+00	8.500000e+00	8.628561e-12
8.600000000000000e+00	8.600000e+00	8.728570e-12
8.700000000000001e+00	8.700000e+00	8.828582e-12
8.800000000000001e+00	8.800000e+00	8.928594e-12
8.900000000000000e+00	8.900000e+00	9.028609e-12
9.000000000000000e+00	9.000000e+00	9.128619e-12
9.100000000000000e+00	9.100000e+00	9.228631e-12
9.200000000000001e+00	9.200000e+00	9.328643e-12
9.300000000000001e+00	9.300000e+00	9.428651e-12
9.400000000000000e+00	9.400000e+00	9.528667e-12
9.500000000000000e+00	9.500000e+00	9.628675e-12
9.600000000000001e+00	9.600000e+00	9.728687e-12
9.700000000000001e+00	9.700000e+00	9.828697e-12
9.800000000000001e+00	9.800000e+00	9.928709e-12
9.900000000000000e+00	9.900000e+00	1.002873e-11
1.000000000000000e+01	1.000000e+01	1.012874e-11
Step Information: Vbb=200m  (Step: 2/26)
0.000000000000000e+00	-1.367751e-08	2.442413e-11
1.000000000000000e-01	9.999997e-02	4.517491e-11
2.000000000000000e-01	2.000000e-01	4.657636e-11
3.000000000000000e-01	3.000000e-01	4.683941e-11
4.000000000000000e-01	4.000000e-01	4.700408e-11
5.000000000000000e-01	5.000000e-01	4.715714e-11
6.000000000000001e-01	6.000000e-01	4.730860e-11
7.000000000000001e-01	7.000000e-01	4.745990e-11
8.000000000000000e-01	8.000000e-01	4.761113e-11
9.000000000000000e-01	9.000000e-01	4.776227e-11
1.000000000000000e+00	1.000000e+00	4.791349e-11
1.100000000000000e+00	1.100000e+00	4.806470e-11
1.200000000000000e+00	1.200000e+00	4.821592e-11
1.300000000000000e+00	1.300000e+00	4.836714e-11
1.400000000000000e+00	1.400000e+00	4.851836e-11
1.500000000000000e+00	1.500000e+00	4.866958e-11
1.600000000000000e+00	1.600000e+00	4.882079e-11
1.700000000000000e+00	1.700000e+00	4.897201e-11
1.800000000000000e+00	1.800000e+00	4.912323e-11
1.900000000000000e+00	1.900000e+00	4.927445e-11
2.000000000000000e+00	2.000000e+00	4.942566e-11
2.100000000000000e+00	2.100000e+00	4.957688e-11
2.200000000000000e+00	2.200000e+00	4.972809e-11
2.300000000000000e+00	2.300000e+00	4.987931e-11
2.400000000000000e+00	2.400000e+00	5.003053e-11
2.500000000000000e+00	2.500000e+00	5.018175e-11
2.600000000000000e+00	2.600000e+00	5.033296e-11
2.700000000000000e+00	2.700000e+00	5.048418e-11
2.800000000000000e+00	2.800000e+00	5.063540e-11
2.900000000000000e+00	2.900000e+00	5.078661e-11
3.000000000000000e+00	3.000000e+00	5.093783e-11
3.100000000000000e+00	3.100000e+00	5.108905e-11
3.200000000000000e+00	3.200000e+00	5.124027e-11
3.300000000000000e+00	3.300000e+00	5.139148e-11
3.400000000000000e+00	3.400000e+00	5.154270e-11
3.500000000000000e+00	3.500000e+00	5.169392e-11
3.600000000000000e+00	3.600000e+00	5.184514e-11
3.700000000000000e+00	3.700000e+00	5.199635e-11
3.800000000000000e+00	3.800000e+00	5.214757e-11
3.900000000000000e+00	3.900000e+00	5.229879e-11
4.000000000000000e+00	4.000000e+00	5.245000e-11
4.100000000000001e+00	4.100000e+00	5.260122e-11
4.200000000000000e+00	4.200000e+00	5.275244e-11
4.300000000000000e+00	4.300000e+00	5.290365e-11
4.400000000000000e+00	4.400000e+00	5.305487e-11
4.500000000000000e+00	4.500000e+00	5.320609e-11
4.600000000000001e+00	4.600000e+00	5.335730e-11
4.700000000000000e+00	4.700000e+00	5.350852e-11
4.800000000000001e+00	4.800000e+00	5.365974e-11
4.900000000000000e+00	4.900000e+00	5.381096e-11
5.000000000000000e+00	5.000000e+00	5.396218e-11
5.100000000000001e+00	5.100000e+00	5.411339e-11
5.200000000000000e+00	5.200000e+00	5.426461e-11
5.300000000000001e+00	5.300000e+00	5.441582e-11
5.400000000000000e+00	5.400000e+00	5.456704e-11
5.500000000000000e+00	5.500000e+00	5.471826e-11
5.600000000000001e+00	5.600000e+00	5.486948e-11
5.700000000000000e+00	5.700000e+00	5.502069e-11
5.800000000000001e+00	5.800000e+00	5.517191e-11
5.900000000000000e+00	5.900000e+00	5.532312e-11
6.000000000000000e+00	6.000000e+00	5.547434e-11
6.100000000000001e+00	6.100000e+00	5.562556e-11
6.200000000000000e+00	6.200000e+00	5.577678e-11
6.300000000000001e+00	6.300000e+00	5.592799e-11
6.400000000000000e+00	6.400000e+00	5.607921e-11
6.500000000000000e+00	6.500000e+00	5.623043e-11
6.600000000000001e+00	6.600000e+00	5.638165e-11
6.700000000000000e+00	6.700000e+00	5.653287e-11
6.800000000000001e+00	6.800000e+00	5.668408e-11
6.900000000000000e+00	6.900000e+00	5.683530e-11
7.000000000000000e+00	7.000000e+00	5.698652e-11
7.100000000000001e+00	7.100000e+00	5.713773e-11
7.200000000000000e+00	7.200000e+00	5.728895e-11
7.300000000000001e+00	7.300000e+00	5.744016e-11
7.400000000000000e+00	7.400000e+00	5.759139e-11
7.500000000000000e+00	7.500000e+00	5.774260e-11
7.600000000000001e+00	7.600000e+00	5.789382e-11
7.700000000000000e+00	7.700000e+00	5.804503e-11
7.800000000000001e+00	7.800000e+00	5.819625e-11
7.900000000000000e+00	7.900000e+00	5.834747e-11
8.000000000000000e+00	8.000000e+00	5.849869e-11
8.100000000000000e+00	8.100000e+00	5.864990e-11
8.200000000000001e+00	8.200000e+00	5.880112e-11
8.300000000000001e+00	8.300000e+00	5.895234e-11
8.400000000000000e+00	8.400000e+00	5.910356e-11
8.500000000000000e+00	8.500000e+00	5.925477e-11
8.600000000000000e+00	8.600000e+00	5.940599e-11
8.700000000000001e+00	8.700000e+00	5.955721e-11
8.800000000000001e+00	8.800000e+00	5.970843e-11
8.900000000000000e+00	8.900000e+00	5.985964e-11
9.000000000000000e+00	9.000000e+00	6.001086e-11
9.100000000000000e+00	9.100000e+00	6.016208e-11
9.200000000000001e+00	9.200000e+00	6.031329e-11
9.300000000000001e+00	9.300000e+00	6.046451e-11
9.400000000000000e+00	9.400000e+00	6.061573e-11
9.500000000000000e+00	9.500000e+00	6.076694e-11
9.600000000000001e+00	9.600000e+00	6.091816e-11
9.700000000000001e+00	9.700000e+00	6.106937e-11
9.800000000000001e+00	9.800000e+00	6.122059e-11
9.900000000000000e+00	9.900000e+00	6.137182e-11
1.000000000000000e+01	1.000000e+01	6.152303e-11
Step Information: Vbb=400m  (Step: 3/26)
0.000000000000000e+00	-5.583141e-05	9.969894e-08
1.000000000000000e-01	9.993814e-02	1.104697e-07
2.000000000000000e-01	1.999378e-01	1.110404e-07
3.000000000000000e-01	2.999377e-01	1.111849e-07
4.000000000000000e-01	3.999377e-01	1.113097e-07
5.000000000000000e-01	4.999376e-01	1.114333e-07
6.000000000000001e-01	5.999375e-01	1.115568e-07
7.000000000000001e-01	6.999375e-01	1.116803e-07
8.000000000000000e-01	7.999374e-01	1.118038e-07
9.000000000000000e-01	8.999373e-01	1.119272e-07
1.000000000000000e+00	9.999372e-01	1.120507e-07
1.100000000000000e+00	1.099937e+00	1.121742e-07
1.200000000000000e+00	1.199937e+00	1.122977e-07
1.300000000000000e+00	1.299937e+00	1.124212e-07
1.400000000000000e+00	1.399937e+00	1.125447e-07
1.500000000000000e+00	1.499937e+00	1.126682e-07
1.600000000000000e+00	1.599937e+00	1.127916e-07
1.700000000000000e+00	1.699937e+00	1.129151e-07
1.800000000000000e+00	1.799937e+00	1.130386e-07
1.900000000000000e+00	1.899937e+00	1.131621e-07
2.000000000000000e+00	1.999937e+00	1.132856e-07
2.100000000000000e+00	2.099936e+00	1.134091e-07
2.200000000000000e+00	2.199936e+00	1.135326e-07
2.300000000000000e+00	2.299936e+00	1.136561e-07
2.400000000000000e+00	2.399936e+00	1.137795e-07
2.500000000000000e+00	2.499936e+00	1.139030e-07
2.600000000000000e+00	2.599936e+00	1.140265e-07
2.700000000000000e+00	2.699936e+00	1.141500e-07
2.800000000000000e+00	2.799936e+00	1.142735e-07
2.900000000000000e+00	2.899936e+00	1.143970e-07
3.000000000000000e+00	2.999936e+00	1.145205e-07
3.100000000000000e+00	3.099936e+00	1.146439e-07
3.200000000000000e+00	3.199936e+00	1.147674e-07
3.300000000000000e+00	3.299936e+00	1.148909e-07
3.400000000000000e+00	3.399935e+00	1.150144e-07
3.500000000000000e+00	3.499936e+00	1.151379e-07
3.600000000000000e+00	3.599936e+00	1.152614e-07
3.700000000000000e+00	3.699935e+00	1.153849e-07
3.800000000000000e+00	3.799935e+00	1.155084e-07
3.900000000000000e+00	3.899935e+00	1.156318e-07
4.000000000000000e+00	3.999935e+00	1.157553e-07
4.100000000000001e+00	4.099935e+00	1.158788e-07
4.200000000000000e+00	4.199935e+00	1.160023e-07
4.300000000000000e+00	4.299935e+00	1.161258e-07
4.400000000000000e+00	4.399935e+00	1.162493e-07
4.500000000000000e+00	4.499935e+00	1.163728e-07
4.600000000000001e+00	4.599935e+00	1.164963e-07
4.700000000000000e+00	4.699934e+00	1.166197e-07
4.800000000000001e+00	4.799934e+00	1.167432e-07
4.900000000000000e+00	4.899935e+00	1.168667e-07
5.000000000000000e+00	4.999935e+00	1.169902e-07
5.100000000000001e+00	5.099935e+00	1.171137e-07
5.200000000000000e+00	5.199934e+00	1.172372e-07
5.300000000000001e+00	5.299934e+00	1.173607e-07
5.400000000000000e+00	5.399934e+00	1.174841e-07
5.500000000000000e+00	5.499934e+00	1.176076e-07
5.600000000000001e+00	5.599934e+00	1.177311e-07
5.700000000000000e+00	5.699934e+00	1.178546e-07
5.800000000000001e+00	5.799934e+00	1.179781e-07
5.900000000000000e+00	5.899934e+00	1.181016e-07
6.000000000000000e+00	5.999934e+00	1.182251e-07
6.100000000000001e+00	6.099934e+00	1.183486e-07
6.200000000000000e+00	6.199934e+00	1.184720e-07
6.300000000000001e+00	6.299933e+00	1.185955e-07
6.400000000000000e+00	6.399933e+00	1.187190e-07
6.500000000000000e+00	6.499933e+00	1.188425e-07
6.600000000000001e+00	6.599933e+00	1.189660e-07
6.700000000000000e+00	6.699934e+00	1.190895e-07
6.800000000000001e+00	6.799933e+00	1.192130e-07
6.900000000000000e+00	6.899933e+00	1.193364e-07
7.000000000000000e+00	6.999933e+00	1.194599e-07
7.100000000000001e+00	7.099933e+00	1.195834e-07
7.200000000000000e+00	7.199933e+00	1.197069e-07
7.300000000000001e+00	7.299933e+00	1.198304e-07
7.400000000000000e+00	7.399933e+00	1.199539e-07
7.500000000000000e+00	7.499933e+00	1.200774e-07
7.600000000000001e+00	7.599933e+00	1.202009e-07
7.700000000000000e+00	7.699933e+00	1.203243e-07
7.800000000000001e+00	7.799932e+00	1.204478e-07
7.900000000000000e+00	7.899932e+00	1.205713e-07
8.000000000000000e+00	7.999932e+00	1.206948e-07
8.100000000000000e+00	8.099933e+00	1.208183e-07
8.200000000000001e+00	8.199932e+00	1.209418e-07
8.300000000000001e+00	8.299932e+00	1.210653e-07
8.400000000000000e+00	8.399932e+00	1.211888e-07
8.500000000000000e+00	8.499932e+00	1.213122e-07
8.600000000000000e+00	8.599932e+00	1.214357e-07
8.700000000000001e+00	8.699932e+00	1.215592e-07
8.800000000000001e+00	8.799932e+00	1.216827e-07
8.900000000000000e+00	8.899932e+00	1.218062e-07
9.000000000000000e+00	8.999931e+00	1.219297e-07
9.100000000000000e+00	9.099932e+00	1.220532e-07
9.200000000000001e+00	9.199931e+00	1.221767e-07
9.300000000000001e+00	9.299932e+00	1.223001e-07
9.400000000000000e+00	9.399932e+00	1.224236e-07
9.500000000000000e+00	9.499931e+00	1.225471e-07
9.600000000000001e+00	9.599932e+00	1.226706e-07
9.700000000000001e+00	9.699931e+00	1.227941e-07
9.800000000000001e+00	9.799932e+00	1.229176e-07
9.900000000000000e+00	9.899931e+00	1.230411e-07
1.000000000000000e+01	9.999931e+00	1.231646e-07
Step Information: Vbb=600m  (Step: 4/26)
0.000000000000000e+00	-3.990042e-02	7.125075e-05
1.000000000000000e-01	1.550385e-02	1.508860e-04
