V1	I(D1)
-8.160000000000000e+00	-5.903599e-03
-8.150000000000000e+00	-5.893677e-03
-8.140000000000001e+00	-5.883754e-03
-8.129999999999999e+00	-5.873831e-03
-8.119999999999999e+00	-5.863909e-03
-8.109999999999999e+00	-5.853986e-03
-8.100000000000000e+00	-5.844064e-03
-8.090000000000000e+00	-5.834142e-03
-8.080000000000000e+00	-5.824220e-03
-8.070000000000000e+00	-5.814298e-03
-8.060000000000000e+00	-5.804377e-03
-8.050000000000001e+00	-5.794455e-03
-8.039999999999999e+00	-5.784533e-03
-8.029999999999999e+00	-5.774612e-03
-8.020000000000000e+00	-5.764691e-03
-8.010000000000000e+00	-5.754770e-03
-8.000000000000000e+00	-5.744849e-03
-7.990000000000000e+00	-5.734928e-03
-7.980000000000000e+00	-5.725008e-03
-7.970000000000000e+00	-5.715087e-03
-7.960000000000000e+00	-5.705167e-03
-7.950000000000000e+00	-5.695247e-03
-7.940000000000000e+00	-5.685327e-03
-7.930000000000000e+00	-5.675407e-03
-7.920000000000000e+00	-5.665487e-03
-7.910000000000000e+00	-5.655568e-03
-7.900000000000000e+00	-5.645648e-03
-7.890000000000001e+00	-5.635729e-03
-7.880000000000000e+00	-5.625810e-03
-7.870000000000000e+00	-5.615890e-03
-7.859999999999999e+00	-5.605971e-03
-7.850000000000000e+00	-5.596053e-03
-7.840000000000000e+00	-5.586134e-03
-7.830000000000000e+00	-5.576216e-03
-7.820000000000000e+00	-5.566298e-03
-7.810000000000000e+00	-5.556379e-03
-7.800000000000000e+00	-5.546461e-03
-7.790000000000000e+00	-5.536544e-03
-7.779999999999999e+00	-5.526626e-03
-7.770000000000000e+00	-5.516708e-03
-7.760000000000000e+00	-5.506791e-03
-7.750000000000000e+00	-5.496874e-03
-7.740000000000000e+00	-5.486956e-03
-7.730000000000000e+00	-5.477040e-03
-7.720000000000000e+00	-5.467123e-03
-7.710000000000000e+00	-5.457206e-03
-7.699999999999999e+00	-5.447290e-03
-7.690000000000000e+00	-5.437373e-03
-7.680000000000000e+00	-5.427457e-03
-7.670000000000000e+00	-5.417541e-03
-7.660000000000000e+00	-5.407625e-03
-7.650000000000000e+00	-5.397710e-03
-7.640000000000001e+00	-5.387794e-03
-7.630000000000000e+00	-5.377879e-03
-7.620000000000000e+00	-5.367964e-03
-7.609999999999999e+00	-5.358049e-03
-7.600000000000000e+00	-5.348134e-03
-7.590000000000000e+00	-5.338219e-03
-7.580000000000000e+00	-5.328305e-03
-7.570000000000000e+00	-5.318390e-03
-7.560000000000000e+00	-5.308476e-03
-7.550000000000000e+00	-5.298562e-03
-7.540000000000000e+00	-5.288648e-03
-7.529999999999999e+00	-5.278734e-03
-7.520000000000000e+00	-5.268821e-03
-7.510000000000000e+00	-5.258908e-03
-7.500000000000000e+00	-5.248994e-03
-7.490000000000000e+00	-5.239081e-03
-7.480000000000000e+00	-5.229169e-03
-7.470000000000000e+00	-5.219256e-03
-7.460000000000000e+00	-5.209343e-03
-7.449999999999999e+00	-5.199431e-03
-7.440000000000000e+00	-5.189519e-03
-7.430000000000000e+00	-5.179607e-03
-7.420000000000000e+00	-5.169695e-03
-7.410000000000000e+00	-5.159783e-03
-7.400000000000000e+00	-5.149872e-03
-7.390000000000001e+00	-5.139960e-03
-7.380000000000000e+00	-5.130050e-03
-7.370000000000000e+00	-5.120139e-03
-7.359999999999999e+00	-5.110228e-03
-7.350000000000000e+00	-5.100317e-03
-7.340000000000000e+00	-5.090407e-03
-7.330000000000000e+00	-5.080497e-03
-7.320000000000000e+00	-5.070587e-03
-7.310000000000000e+00	-5.060677e-03
-7.300000000000000e+00	-5.050767e-03
-7.290000000000000e+00	-5.040858e-03
-7.279999999999999e+00	-5.030949e-03
-7.270000000000000e+00	-5.021040e-03
-7.260000000000000e+00	-5.011131e-03
-7.250000000000000e+00	-5.001222e-03
-7.240000000000000e+00	-4.991313e-03
-7.230000000000000e+00	-4.981406e-03
-7.220000000000000e+00	-4.971497e-03
-7.210000000000000e+00	-4.961589e-03
-7.199999999999999e+00	-4.951681e-03
-7.190000000000000e+00	-4.941774e-03
-7.180000000000000e+00	-4.931867e-03
-7.170000000000000e+00	-4.921960e-03
-7.160000000000000e+00	-4.912053e-03
-7.150000000000000e+00	-4.902146e-03
-7.140000000000001e+00	-4.892240e-03
-7.130000000000000e+00	-4.882333e-03
-7.120000000000000e+00	-4.872427e-03
-7.109999999999999e+00	-4.862521e-03
-7.100000000000000e+00	-4.852616e-03
-7.090000000000000e+00	-4.842710e-03
-7.080000000000000e+00	-4.832805e-03
-7.070000000000000e+00	-4.822900e-03
-7.060000000000000e+00	-4.812995e-03
-7.050000000000000e+00	-4.803090e-03
-7.040000000000000e+00	-4.793186e-03
-7.029999999999999e+00	-4.783282e-03
-7.020000000000000e+00	-4.773377e-03
-7.010000000000000e+00	-4.763474e-03
-7.000000000000000e+00	-4.753570e-03
-6.990000000000000e+00	-4.743667e-03
-6.980000000000000e+00	-4.733764e-03
-6.970000000000000e+00	-4.723861e-03
-6.960000000000000e+00	-4.713958e-03
-6.949999999999999e+00	-4.704055e-03
-6.940000000000000e+00	-4.694153e-03
-6.930000000000000e+00	-4.684251e-03
-6.920000000000000e+00	-4.674349e-03
-6.910000000000000e+00	-4.664448e-03
-6.900000000000000e+00	-4.654546e-03
-6.890000000000001e+00	-4.644645e-03
-6.880000000000000e+00	-4.634744e-03
-6.870000000000000e+00	-4.624844e-03
-6.859999999999999e+00	-4.614943e-03
-6.850000000000000e+00	-4.605043e-03
-6.840000000000000e+00	-4.595143e-03
-6.830000000000000e+00	-4.585243e-03
-6.820000000000000e+00	-4.575344e-03
-6.810000000000000e+00	-4.565444e-03
-6.800000000000000e+00	-4.555545e-03
-6.790000000000000e+00	-4.545647e-03
-6.779999999999999e+00	-4.535748e-03
-6.770000000000000e+00	-4.525850e-03
-6.760000000000000e+00	-4.515951e-03
-6.750000000000000e+00	-4.506054e-03
-6.740000000000000e+00	-4.496156e-03
-6.730000000000000e+00	-4.486259e-03
-6.720000000000000e+00	-4.476362e-03
-6.710000000000000e+00	-4.466465e-03
-6.699999999999999e+00	-4.456569e-03
-6.690000000000000e+00	-4.446672e-03
-6.680000000000000e+00	-4.436776e-03
-6.670000000000000e+00	-4.426880e-03
-6.660000000000000e+00	-4.416985e-03
-6.650000000000000e+00	-4.407089e-03
-6.640000000000001e+00	-4.397194e-03
-6.630000000000000e+00	-4.387300e-03
-6.620000000000000e+00	-4.377405e-03
-6.609999999999999e+00	-4.367511e-03
-6.600000000000000e+00	-4.357616e-03
-6.590000000000000e+00	-4.347723e-03
-6.580000000000000e+00	-4.337830e-03
-6.570000000000000e+00	-4.327936e-03
-6.560000000000000e+00	-4.318043e-03
-6.550000000000000e+00	-4.308151e-03
-6.540000000000000e+00	-4.298258e-03
-6.529999999999999e+00	-4.288366e-03
-6.520000000000000e+00	-4.278474e-03
-6.510000000000000e+00	-4.268583e-03
-6.500000000000000e+00	-4.258692e-03
-6.490000000000000e+00	-4.248801e-03
-6.480000000000000e+00	-4.238910e-03
-6.470000000000000e+00	-4.229019e-03
-6.460000000000000e+00	-4.219130e-03
-6.449999999999999e+00	-4.209240e-03
-6.440000000000000e+00	-4.199350e-03
-6.430000000000000e+00	-4.189461e-03
-6.420000000000000e+00	-4.179572e-03
-6.410000000000000e+00	-4.169683e-03
-6.400000000000000e+00	-4.159795e-03
-6.390000000000001e+00	-4.149907e-03
-6.380000000000000e+00	-4.140019e-03
-6.370000000000000e+00	-4.130132e-03
-6.359999999999999e+00	-4.120245e-03
-6.350000000000000e+00	-4.110358e-03
-6.340000000000000e+00	-4.100471e-03
-6.330000000000000e+00	-4.090585e-03
-6.320000000000000e+00	-4.080699e-03
-6.310000000000000e+00	-4.070813e-03
-6.300000000000000e+00	-4.060928e-03
-6.290000000000000e+00	-4.051043e-03
-6.279999999999999e+00	-4.041159e-03
-6.270000000000000e+00	-4.031274e-03
-6.260000000000000e+00	-4.021390e-03
-6.250000000000000e+00	-4.011507e-03
-6.240000000000000e+00	-4.001623e-03
-6.230000000000000e+00	-3.991740e-03
-6.220000000000000e+00	-3.981858e-03
-6.210000000000000e+00	-3.971975e-03
-6.199999999999999e+00	-3.962093e-03
-6.190000000000000e+00	-3.952211e-03
-6.180000000000000e+00	-3.942330e-03
-6.170000000000000e+00	-3.932449e-03
-6.160000000000000e+00	-3.922569e-03
-6.150000000000000e+00	-3.912688e-03
-6.140000000000001e+00	-3.902808e-03
-6.130000000000000e+00	-3.892929e-03
-6.120000000000000e+00	-3.883049e-03
-6.109999999999999e+00	-3.873170e-03
-6.100000000000000e+00	-3.863292e-03
-6.090000000000000e+00	-3.853414e-03
-6.080000000000000e+00	-3.843536e-03
-6.070000000000000e+00	-3.833659e-03
-6.060000000000000e+00	-3.823781e-03
-6.050000000000000e+00	-3.813905e-03
-6.040000000000000e+00	-3.804028e-03
-6.029999999999999e+00	-3.794152e-03
-6.020000000000000e+00	-3.784277e-03
-6.010000000000000e+00	-3.774401e-03
-6.000000000000000e+00	-3.764527e-03
-5.990000000000000e+00	-3.754652e-03
-5.980000000000000e+00	-3.744778e-03
-5.970000000000000e+00	-3.734905e-03
-5.960000000000000e+00	-3.725031e-03
-5.950000000000000e+00	-3.715158e-03
-5.940000000000000e+00	-3.705286e-03
-5.930000000000000e+00	-3.695414e-03
-5.920000000000000e+00	-3.685542e-03
-5.910000000000000e+00	-3.675671e-03
-5.900000000000000e+00	-3.665800e-03
-5.890000000000000e+00	-3.655929e-03
-5.880000000000000e+00	-3.646059e-03
-5.870000000000000e+00	-3.636190e-03
-5.860000000000000e+00	-3.626321e-03
-5.850000000000000e+00	-3.616452e-03
-5.840000000000000e+00	-3.606583e-03
-5.830000000000000e+00	-3.596715e-03
-5.820000000000000e+00	-3.586848e-03
-5.810000000000000e+00	-3.576981e-03
-5.800000000000000e+00	-3.567114e-03
-5.790000000000000e+00	-3.557248e-03
-5.780000000000000e+00	-3.547382e-03
-5.770000000000000e+00	-3.537517e-03
-5.760000000000000e+00	-3.527652e-03
-5.750000000000000e+00	-3.517787e-03
-5.740000000000000e+00	-3.507924e-03
-5.730000000000000e+00	-3.498060e-03
-5.720000000000000e+00	-3.488197e-03
-5.710000000000000e+00	-3.478335e-03
-5.700000000000000e+00	-3.468472e-03
-5.690000000000000e+00	-3.458611e-03
-5.680000000000000e+00	-3.448749e-03
-5.670000000000000e+00	-3.438889e-03
-5.660000000000000e+00	-3.429029e-03
-5.649999999999999e+00	-3.419169e-03
-5.640000000000000e+00	-3.409310e-03
-5.630000000000000e+00	-3.399451e-03
-5.620000000000000e+00	-3.389593e-03
-5.610000000000000e+00	-3.379735e-03
-5.600000000000000e+00	-3.369878e-03
-5.590000000000000e+00	-3.360021e-03
-5.580000000000000e+00	-3.350165e-03
-5.570000000000000e+00	-3.340309e-03
-5.560000000000000e+00	-3.330454e-03
-5.550000000000000e+00	-3.320600e-03
-5.540000000000000e+00	-3.310746e-03
-5.530000000000000e+00	-3.300892e-03
-5.520000000000000e+00	-3.291039e-03
-5.510000000000000e+00	-3.281186e-03
-5.500000000000000e+00	-3.271335e-03
-5.490000000000000e+00	-3.261483e-03
-5.480000000000000e+00	-3.251632e-03
-5.470000000000000e+00	-3.241782e-03
-5.460000000000000e+00	-3.231932e-03
-5.450000000000000e+00	-3.222083e-03
-5.440000000000000e+00	-3.212235e-03
-5.430000000000000e+00	-3.202387e-03
-5.420000000000000e+00	-3.192539e-03
-5.410000000000000e+00	-3.182692e-03
-5.399999999999999e+00	-3.172846e-03
-5.390000000000000e+00	-3.163001e-03
-5.380000000000000e+00	-3.153156e-03
-5.370000000000000e+00	-3.143311e-03
-5.360000000000000e+00	-3.133467e-03
-5.350000000000000e+00	-3.123624e-03
-5.340000000000000e+00	-3.113782e-03
-5.330000000000000e+00	-3.103940e-03
-5.320000000000000e+00	-3.094098e-03
-5.310000000000000e+00	-3.084258e-03
-5.300000000000000e+00	-3.074418e-03
-5.290000000000000e+00	-3.064578e-03
-5.280000000000000e+00	-3.054739e-03
-5.270000000000000e+00	-3.044901e-03
-5.260000000000000e+00	-3.035064e-03
-5.250000000000000e+00	-3.025227e-03
-5.240000000000000e+00	-3.015391e-03
-5.230000000000000e+00	-3.005556e-03
-5.220000000000000e+00	-2.995721e-03
-5.210000000000000e+00	-2.985887e-03
-5.200000000000000e+00	-2.976054e-03
-5.190000000000000e+00	-2.966221e-03
-5.180000000000000e+00	-2.956390e-03
-5.170000000000000e+00	-2.946559e-03
-5.160000000000000e+00	-2.936728e-03
-5.149999999999999e+00	-2.926898e-03
-5.140000000000000e+00	-2.917069e-03
-5.130000000000000e+00	-2.907241e-03
-5.120000000000000e+00	-2.897414e-03
-5.110000000000000e+00	-2.887587e-03
-5.100000000000000e+00	-2.877761e-03
-5.090000000000000e+00	-2.867936e-03
-5.080000000000000e+00	-2.858112e-03
-5.070000000000000e+00	-2.848289e-03
-5.060000000000000e+00	-2.838466e-03
-5.050000000000000e+00	-2.828644e-03
-5.040000000000000e+00	-2.818823e-03
-5.030000000000000e+00	-2.809003e-03
-5.020000000000000e+00	-2.799183e-03
-5.010000000000000e+00	-2.789364e-03
-5.000000000000000e+00	-2.779547e-03
-4.990000000000000e+00	-2.769730e-03
-4.980000000000000e+00	-2.759914e-03
-4.970000000000000e+00	-2.750098e-03
-4.960000000000000e+00	-2.740284e-03
-4.950000000000000e+00	-2.730471e-03
-4.940000000000000e+00	-2.720658e-03
-4.930000000000000e+00	-2.710846e-03
-4.920000000000000e+00	-2.701036e-03
-4.910000000000000e+00	-2.691226e-03
-4.899999999999999e+00	-2.681417e-03
-4.890000000000000e+00	-2.671609e-03
-4.880000000000000e+00	-2.661802e-03
-4.870000000000000e+00	-2.651996e-03
-4.860000000000000e+00	-2.642191e-03
-4.850000000000000e+00	-2.632387e-03
-4.840000000000000e+00	-2.622585e-03
-4.830000000000000e+00	-2.612782e-03
-4.820000000000000e+00	-2.602981e-03
-4.810000000000000e+00	-2.593182e-03
-4.800000000000000e+00	-2.583383e-03
-4.790000000000000e+00	-2.573585e-03
-4.780000000000000e+00	-2.563788e-03
-4.770000000000000e+00	-2.553992e-03
-4.760000000000000e+00	-2.544197e-03
-4.750000000000000e+00	-2.534404e-03
-4.740000000000000e+00	-2.524612e-03
-4.730000000000000e+00	-2.514820e-03
-4.720000000000000e+00	-2.505030e-03
-4.710000000000000e+00	-2.495241e-03
-4.700000000000000e+00	-2.485453e-03
-4.690000000000000e+00	-2.475667e-03
-4.680000000000000e+00	-2.465881e-03
-4.670000000000000e+00	-2.456097e-03
-4.660000000000000e+00	-2.446314e-03
-4.649999999999999e+00	-2.436532e-03
-4.640000000000000e+00	-2.426751e-03
-4.630000000000000e+00	-2.416972e-03
-4.620000000000000e+00	-2.407194e-03
-4.610000000000000e+00	-2.397417e-03
-4.600000000000000e+00	-2.387641e-03
-4.590000000000000e+00	-2.377867e-03
-4.580000000000000e+00	-2.368094e-03
-4.570000000000000e+00	-2.358323e-03
-4.560000000000000e+00	-2.348553e-03
-4.550000000000000e+00	-2.338784e-03
-4.540000000000000e+00	-2.329017e-03
-4.530000000000000e+00	-2.319251e-03
-4.520000000000000e+00	-2.309487e-03
-4.510000000000000e+00	-2.299723e-03
-4.500000000000000e+00	-2.289962e-03
-4.490000000000000e+00	-2.280202e-03
-4.480000000000000e+00	-2.270444e-03
-4.470000000000000e+00	-2.260687e-03
-4.460000000000000e+00	-2.250931e-03
-4.450000000000000e+00	-2.241177e-03
-4.440000000000000e+00	-2.231425e-03
-4.430000000000000e+00	-2.221675e-03
-4.420000000000000e+00	-2.211926e-03
-4.410000000000000e+00	-2.202178e-03
-4.399999999999999e+00	-2.192433e-03
-4.390000000000000e+00	-2.182689e-03
-4.380000000000000e+00	-2.172947e-03
-4.370000000000000e+00	-2.163206e-03
-4.360000000000000e+00	-2.153468e-03
-4.350000000000000e+00	-2.143731e-03
-4.340000000000000e+00	-2.133996e-03
-4.330000000000000e+00	-2.124263e-03
-4.320000000000000e+00	-2.114532e-03
-4.310000000000000e+00	-2.104803e-03
-4.300000000000000e+00	-2.095075e-03
-4.290000000000000e+00	-2.085350e-03
-4.280000000000000e+00	-2.075627e-03
-4.270000000000000e+00	-2.065905e-03
-4.260000000000000e+00	-2.056186e-03
-4.250000000000000e+00	-2.046469e-03
-4.240000000000000e+00	-2.036754e-03
-4.230000000000000e+00	-2.027041e-03
-4.220000000000000e+00	-2.017330e-03
-4.210000000000000e+00	-2.007622e-03
-4.200000000000000e+00	-1.997916e-03
-4.190000000000000e+00	-1.988212e-03
-4.180000000000000e+00	-1.978510e-03
-4.170000000000000e+00	-1.968811e-03
-4.160000000000000e+00	-1.959114e-03
-4.149999999999999e+00	-1.949420e-03
-4.140000000000000e+00	-1.939728e-03
-4.130000000000000e+00	-1.930039e-03
-4.120000000000000e+00	-1.920352e-03
-4.110000000000000e+00	-1.910668e-03
-4.100000000000000e+00	-1.900987e-03
-4.090000000000000e+00	-1.891308e-03
-4.080000000000000e+00	-1.881632e-03
-4.070000000000000e+00	-1.871959e-03
-4.060000000000000e+00	-1.862289e-03
-4.050000000000000e+00	-1.852622e-03
-4.040000000000000e+00	-1.842957e-03
-4.030000000000000e+00	-1.833296e-03
-4.020000000000000e+00	-1.823638e-03
-4.010000000000000e+00	-1.813983e-03
-4.000000000000000e+00	-1.804331e-03
-3.990000000000000e+00	-1.794682e-03
-3.980000000000000e+00	-1.785037e-03
-3.970000000000000e+00	-1.775395e-03
-3.960000000000000e+00	-1.765756e-03
-3.950000000000000e+00	-1.756121e-03
-3.940000000000000e+00	-1.746490e-03
-3.930000000000000e+00	-1.736862e-03
-3.920000000000000e+00	-1.727238e-03
-3.910000000000000e+00	-1.717618e-03
-3.899999999999999e+00	-1.708001e-03
-3.890000000000000e+00	-1.698389e-03
-3.880000000000000e+00	-1.688781e-03
-3.870000000000000e+00	-1.679176e-03
-3.859999999999999e+00	-1.669577e-03
-3.850000000000000e+00	-1.659981e-03
-3.840000000000000e+00	-1.650390e-03
-3.830000000000000e+00	-1.640803e-03
-3.820000000000000e+00	-1.631220e-03
-3.810000000000000e+00	-1.621643e-03
-3.800000000000000e+00	-1.612070e-03
-3.790000000000000e+00	-1.602503e-03
-3.780000000000000e+00	-1.592940e-03
-3.770000000000000e+00	-1.583382e-03
-3.760000000000000e+00	-1.573830e-03
-3.750000000000000e+00	-1.564283e-03
-3.740000000000000e+00	-1.554742e-03
-3.730000000000000e+00	-1.545206e-03
-3.720000000000000e+00	-1.535677e-03
-3.710000000000000e+00	-1.526153e-03
-3.700000000000000e+00	-1.516635e-03
-3.690000000000000e+00	-1.507123e-03
-3.680000000000000e+00	-1.497619e-03
-3.670000000000000e+00	-1.488120e-03
-3.660000000000000e+00	-1.478629e-03
-3.649999999999999e+00	-1.469144e-03
-3.640000000000000e+00	-1.459667e-03
-3.630000000000000e+00	-1.450196e-03
-3.620000000000000e+00	-1.440734e-03
-3.609999999999999e+00	-1.431279e-03
-3.600000000000000e+00	-1.421833e-03
-3.590000000000000e+00	-1.412394e-03
-3.580000000000000e+00	-1.402965e-03
-3.570000000000000e+00	-1.393543e-03
-3.560000000000000e+00	-1.384131e-03
-3.550000000000000e+00	-1.374729e-03
-3.540000000000000e+00	-1.365336e-03
-3.530000000000000e+00	-1.355952e-03
-3.520000000000000e+00	-1.346580e-03
-3.510000000000000e+00	-1.337217e-03
-3.500000000000000e+00	-1.327866e-03
-3.490000000000000e+00	-1.318526e-03
-3.480000000000000e+00	-1.309198e-03
-3.470000000000000e+00	-1.299881e-03
-3.460000000000000e+00	-1.290578e-03
-3.450000000000000e+00	-1.281287e-03
-3.440000000000000e+00	-1.272010e-03
-3.430000000000000e+00	-1.262747e-03
-3.420000000000000e+00	-1.253499e-03
-3.410000000000000e+00	-1.244266e-03
-3.399999999999999e+00	-1.235048e-03
-3.390000000000000e+00	-1.225847e-03
-3.380000000000000e+00	-1.216663e-03
-3.370000000000000e+00	-1.207497e-03
-3.359999999999999e+00	-1.198349e-03
