time	V(n003)
9.294500528055329e-03	7.461238e+00
9.295559809638816e-03	7.450220e+00
9.297678372805788e-03	7.428179e+00
9.301915499139734e-03	7.384088e+00
9.307148430448081e-03	7.329616e+00
9.313009397653203e-03	7.268583e+00
9.320210148073840e-03	7.193564e+00
9.329076398679491e-03	7.101145e+00
9.338851222785060e-03	6.999190e+00
9.358400870996198e-03	6.795084e+00
9.394547270539027e-03	6.417031e+00
9.433609770539026e-03	6.007550e+00
9.472672270539025e-03	5.597164e+00
9.511734770539024e-03	5.185935e+00
9.550797270539023e-03	4.773926e+00
9.589859770539022e-03	4.361198e+00
9.628922270539022e-03	3.947813e+00
9.667984770539021e-03	3.533833e+00
9.707047270539020e-03	3.119321e+00
9.746109770539019e-03	2.704339e+00
9.785172270539018e-03	2.288950e+00
9.824234770539017e-03	1.873217e+00
9.863297270539017e-03	1.457201e+00
9.902359770539016e-03	1.040966e+00
9.941422270539015e-03	6.245739e-01
9.980484770539014e-03	2.080878e-01
1.001954727053901e-02	-2.084295e-01
1.005860977053901e-02	-6.249155e-01
1.009767227053901e-02	-1.041307e+00
1.013673477053901e-02	-1.457542e+00
1.017579727053901e-02	-1.873558e+00
1.021485977053901e-02	-2.289291e+00
1.025392227053901e-02	-2.704680e+00
1.029298477053901e-02	-3.119661e+00
1.033204727053901e-02	-3.534173e+00
1.037110977053901e-02	-3.948152e+00
1.039519330885753e-02	-4.203094e+00
1.042108847796545e-02	-4.476944e+00
1.044811102024221e-02	-4.762401e+00
1.048032388675357e-02	-5.102236e+00
1.050880029238080e-02	-5.402219e+00
1.053973191064245e-02	-5.727575e+00
1.057401567690564e-02	-6.087558e+00
1.057889848940564e-02	-6.138772e+00
1.058866411440564e-02	-6.241155e+00
1.060819536440564e-02	-6.445745e+00
1.062936480623672e-02	-6.667221e+00
1.070748980623672e-02	-7.481941e+00
1.075213266337958e-02	-7.945729e+00
1.079677552052243e-02	-8.407727e+00
1.084141837766529e-02	-8.867937e+00
1.088606123480815e-02	-9.326358e+00
1.093070409195100e-02	-9.782989e+00
1.097534694909386e-02	-1.023783e+01
1.101998980623671e-02	-1.069089e+01
1.109811480623671e-02	-1.147822e+01
1.117623980623671e-02	-1.225865e+01
1.118112261873671e-02	-1.230718e+01
1.119088824373671e-02	-1.240417e+01
1.120551520358902e-02	-1.254921e+01
1.122190385897853e-02	-1.271141e+01
1.123873645814258e-02	-1.287766e+01
1.126630642409117e-02	-1.314916e+01
1.129291652683739e-02	-1.341028e+01
1.156635402683738e-02	-1.603596e+01
1.173376474112309e-02	-1.759613e+01
1.190117545540880e-02	-1.909774e+01
1.206858616969451e-02	-2.054078e+01
1.223599688398022e-02	-2.192526e+01
1.240340759826594e-02	-2.325118e+01
1.257081831255165e-02	-2.451853e+01
1.273822902683736e-02	-2.572733e+01
1.306747009826592e-02	-2.791143e+01
1.339671116969449e-02	-2.975848e+01
1.372595224112305e-02	-3.126849e+01
1.405519331255162e-02	-3.244144e+01
1.438443438398018e-02	-3.327735e+01
1.471367545540874e-02	-3.377621e+01
1.504291652683731e-02	-3.393801e+01
1.536099688398016e-02	-3.369679e+01
1.567907724112301e-02	-3.314243e+01
1.599715759826586e-02	-3.227494e+01
1.631523795540871e-02	-3.109432e+01
1.663331831255156e-02	-2.960056e+01
1.695139866969441e-02	-2.779367e+01
1.726947902683726e-02	-2.567364e+01
1.743688974112297e-02	-2.446163e+01
1.760430045540868e-02	-2.319124e+01
1.777171116969439e-02	-2.186246e+01
1.793912188398011e-02	-2.047529e+01
1.810653259826582e-02	-1.902974e+01
1.827394331255153e-02	-1.752580e+01
1.844135402683724e-02	-1.596347e+01
1.871479152683723e-02	-1.333474e+01
1.875385402683723e-02	-1.295072e+01
1.879291652683723e-02	-1.256475e+01
1.880946225167417e-02	-1.240069e+01
1.882180142695648e-02	-1.227812e+01
1.883140877146467e-02	-1.218256e+01
1.884041213698138e-02	-1.209291e+01
1.884979086703863e-02	-1.199941e+01
1.886854832715312e-02	-1.181211e+01
1.890606324738211e-02	-1.143629e+01
1.894512574738211e-02	-1.104327e+01
1.898418824738211e-02	-1.064859e+01
1.902325074738211e-02	-1.025231e+01
1.906231324738211e-02	-9.854486e+00
1.910137574738211e-02	-9.455177e+00
1.914043824738211e-02	-9.054443e+00
1.917950074738211e-02	-8.652347e+00
1.921856324738211e-02	-8.248946e+00
1.925762574738210e-02	-7.844304e+00
1.929668824738210e-02	-7.438480e+00
1.933575074738210e-02	-7.031536e+00
1.937481324738210e-02	-6.623533e+00
1.941387574738210e-02	-6.214533e+00
1.944342211173100e-02	-5.904545e+00
1.947620949530135e-02	-5.559960e+00
1.950303534905628e-02	-5.277588e+00
1.952995546598369e-02	-4.993847e+00
1.954923213917701e-02	-4.790449e+00
1.957238958242974e-02	-4.545870e+00
1.959701516864394e-02	-4.285522e+00
1.962307189281658e-02	-4.009765e+00
1.964362546818556e-02	-3.792056e+00
1.966771329148222e-02	-3.536712e+00
1.969116494155004e-02	-3.287917e+00
1.971927597878230e-02	-2.989456e+00
1.975152505113631e-02	-2.646776e+00
1.979058755113631e-02	-2.231336e+00
1.982965005113631e-02	-1.815559e+00
1.986871255113631e-02	-1.399510e+00
1.990777505113631e-02	-9.832488e-01
1.994683755113631e-02	-5.668401e-01
1.998590005113631e-02	-1.503460e-01
2.002496255113631e-02	2.661707e-01
2.006402505113631e-02	6.826474e-01
2.010308755113631e-02	1.099021e+00
2.014215005113630e-02	1.515230e+00
2.018121255113630e-02	1.931210e+00
2.022027505113630e-02	2.346899e+00
2.025933755113630e-02	2.762235e+00
2.029840005113630e-02	3.177155e+00
2.033746255113630e-02	3.591596e+00
2.037652505113630e-02	4.005497e+00
2.041558755113630e-02	4.418794e+00
2.045465005113630e-02	4.831426e+00
2.049371255113630e-02	5.243330e+00
2.053277505113630e-02	5.654445e+00
2.057183755113630e-02	6.064708e+00
2.061090005113629e-02	6.474058e+00
2.064996255113629e-02	6.882433e+00
2.068902505113629e-02	7.289771e+00
2.069241548994792e-02	7.325075e+00
2.069919636757118e-02	7.395658e+00
2.070582614887677e-02	7.464637e+00
2.071306312967951e-02	7.539895e+00
2.072428722587619e-02	7.656539e+00
2.073521037961538e-02	7.769964e+00
2.075271248197901e-02	7.951513e+00
2.078381726371016e-02	8.273566e+00
2.086194226371016e-02	9.078904e+00
2.095122797799587e-02	9.994320e+00
2.104051369228159e-02	1.090011e+01
2.112979940656730e-02	1.179629e+01
2.121908512085301e-02	1.268283e+01
2.130837083513873e-02	1.355976e+01
2.139765654942444e-02	1.442707e+01
2.148694226371015e-02	1.528475e+01
2.155948690656729e-02	1.597224e+01
2.163203154942443e-02	1.665058e+01
2.170457619228157e-02	1.731975e+01
2.177712083513872e-02	1.797975e+01
2.184966547799586e-02	1.863060e+01
2.192221012085300e-02	1.927228e+01
2.199475476371014e-02	1.990480e+01
2.202530424681061e-02	2.016773e+01
2.202774923764733e-02	2.018870e+01
2.203263921932076e-02	2.023059e+01
2.204241918266762e-02	2.031422e+01
2.205582426845819e-02	2.042855e+01
2.206886769527599e-02	2.053945e+01
2.209206497679083e-02	2.073582e+01
2.211580302809615e-02	2.093563e+01
2.215008294063700e-02	2.122211e+01
2.218531314285673e-02	2.151398e+01
2.222995599999959e-02	2.188020e+01
2.227459885714244e-02	2.224195e+01
2.231924171428530e-02	2.259921e+01
2.236388457142816e-02	2.295200e+01
2.240852742857101e-02	2.330031e+01
2.245317028571387e-02	2.364414e+01
2.249781314285672e-02	2.398349e+01
2.267638457142815e-02	2.530099e+01
2.285495599999958e-02	2.653005e+01
2.303352742857100e-02	2.767065e+01
2.321209885714242e-02	2.872280e+01
2.339067028571385e-02	2.968650e+01
2.356924171428527e-02	3.056176e+01
2.374781314285670e-02	3.134856e+01
2.416633992857098e-02	3.278227e+01
2.458486671428525e-02	3.364224e+01
2.500339349999953e-02	3.392847e+01
2.542192028571381e-02	3.364095e+01
2.584044707142808e-02	3.277969e+01
