V1	I(D1)
-1.000000000000000e+01	-7.728904e-03
-9.990000000000000e+00	-7.718957e-03
-9.980000000000000e+00	-7.709010e-03
-9.970000000000001e+00	-7.699062e-03
-9.960000000000001e+00	-7.689114e-03
-9.949999999999999e+00	-7.679167e-03
-9.940000000000000e+00	-7.669219e-03
-9.930000000000000e+00	-7.659272e-03
-9.920000000000000e+00	-7.649324e-03
-9.910000000000000e+00	-7.639377e-03
-9.900000000000000e+00	-7.629429e-03
-9.890000000000001e+00	-7.619482e-03
-9.880000000000001e+00	-7.609535e-03
-9.869999999999999e+00	-7.599588e-03
-9.859999999999999e+00	-7.589641e-03
-9.850000000000000e+00	-7.579694e-03
-9.840000000000000e+00	-7.569747e-03
-9.830000000000000e+00	-7.559800e-03
-9.820000000000000e+00	-7.549853e-03
-9.810000000000000e+00	-7.539907e-03
-9.800000000000001e+00	-7.529960e-03
-9.789999999999999e+00	-7.520013e-03
-9.779999999999999e+00	-7.510066e-03
-9.770000000000000e+00	-7.500120e-03
-9.760000000000000e+00	-7.490173e-03
-9.750000000000000e+00	-7.480227e-03
-9.740000000000000e+00	-7.470280e-03
-9.730000000000000e+00	-7.460334e-03
-9.720000000000001e+00	-7.450388e-03
-9.710000000000001e+00	-7.440442e-03
-9.699999999999999e+00	-7.430496e-03
-9.690000000000000e+00	-7.420550e-03
-9.680000000000000e+00	-7.410604e-03
-9.670000000000000e+00	-7.400658e-03
-9.660000000000000e+00	-7.390711e-03
-9.650000000000000e+00	-7.380766e-03
-9.640000000000001e+00	-7.370820e-03
-9.630000000000001e+00	-7.360874e-03
-9.619999999999999e+00	-7.350929e-03
-9.609999999999999e+00	-7.340983e-03
-9.600000000000000e+00	-7.331037e-03
-9.590000000000000e+00	-7.321092e-03
-9.580000000000000e+00	-7.311147e-03
-9.570000000000000e+00	-7.301201e-03
-9.560000000000000e+00	-7.291256e-03
-9.550000000000001e+00	-7.281311e-03
-9.539999999999999e+00	-7.271366e-03
