time	V(n002)
1.118112261873671e-02	-1.230713e+01
1.119088824373671e-02	-1.240370e+01
1.120551520358902e-02	-1.253815e+01
1.122190385897853e-02	-1.261741e+01
1.123873645814258e-02	-1.265011e+01
1.126630642409117e-02	-1.267709e+01
1.129291652683739e-02	-1.269266e+01
1.156635402683738e-02	-1.274992e+01
1.173376474112309e-02	-1.276277e+01
1.190117545540880e-02	-1.277398e+01
1.206858616969451e-02	-1.278354e+01
1.223599688398022e-02	-1.279147e+01
1.240340759826594e-02	-1.279775e+01
1.257081831255165e-02	-1.280239e+01
1.273822902683736e-02	-1.280538e+01
1.306747009826592e-02	-1.281175e+01
1.339671116969449e-02	-1.281706e+01
1.372595224112305e-02	-1.282132e+01
1.405519331255162e-02	-1.282452e+01
1.438443438398018e-02	-1.282667e+01
1.471367545540874e-02	-1.282777e+01
1.504291652683731e-02	-1.282781e+01
1.536099688398016e-02	-1.282757e+01
1.567907724112301e-02	-1.282634e+01
1.599715759826586e-02	-1.282411e+01
1.631523795540871e-02	-1.282088e+01
1.663331831255156e-02	-1.281666e+01
1.695139866969441e-02	-1.281143e+01
1.726947902683726e-02	-1.280521e+01
1.743688974112297e-02	-1.280222e+01
1.760430045540868e-02	-1.279756e+01
1.777171116969439e-02	-1.279122e+01
1.793912188398011e-02	-1.278320e+01
1.810653259826582e-02	-1.277351e+01
1.827394331255153e-02	-1.276214e+01
1.844135402683724e-02	-1.274910e+01
1.871479152683723e-02	-1.268918e+01
1.875385402683723e-02	-1.265953e+01
1.879291652683723e-02	-1.255036e+01
1.880946225167417e-02	-1.240010e+01
1.882180142695648e-02	-1.227867e+01
1.883140877146467e-02	-1.218208e+01
1.884041213698138e-02	-1.209346e+01
1.884979086703863e-02	-1.199894e+01
1.886854832715312e-02	-1.181267e+01
1.890606324738211e-02	-1.143581e+01
1.894512574738211e-02	-1.104383e+01
1.898418824738211e-02	-1.064812e+01
1.902325074738211e-02	-1.025287e+01
