V1	I(D1)
-8.209999999999999e+01	-3.960546e-02
-8.200000000000000e+01	-3.951029e-02
-8.190000000000001e+01	-3.941512e-02
-8.180000000000000e+01	-3.931994e-02
-8.170000000000000e+01	-3.922477e-02
-8.159999999999999e+01	-3.912960e-02
-8.150000000000000e+01	-3.903442e-02
-8.140000000000001e+01	-3.893925e-02
-8.130000000000000e+01	-3.884408e-02
-8.120000000000000e+01	-3.874891e-02
-8.109999999999999e+01	-3.865373e-02
-8.100000000000000e+01	-3.855856e-02
-8.090000000000001e+01	-3.846339e-02
-8.080000000000000e+01	-3.836822e-02
-8.070000000000000e+01	-3.827304e-02
-8.059999999999999e+01	-3.817787e-02
-8.050000000000000e+01	-3.808270e-02
-8.040000000000001e+01	-3.798753e-02
-8.030000000000000e+01	-3.789236e-02
-8.020000000000000e+01	-3.779719e-02
-8.009999999999999e+01	-3.770202e-02
-8.000000000000000e+01	-3.760685e-02
-7.990000000000001e+01	-3.751168e-02
-7.980000000000000e+01	-3.741650e-02
-7.970000000000000e+01	-3.732133e-02
-7.959999999999999e+01	-3.722616e-02
-7.950000000000000e+01	-3.713099e-02
-7.940000000000001e+01	-3.703582e-02
-7.930000000000000e+01	-3.694066e-02
-7.920000000000000e+01	-3.684549e-02
-7.909999999999999e+01	-3.675032e-02
-7.900000000000000e+01	-3.665515e-02
-7.890000000000001e+01	-3.655998e-02
-7.880000000000000e+01	-3.646481e-02
-7.870000000000000e+01	-3.636964e-02
-7.859999999999999e+01	-3.627447e-02
-7.850000000000000e+01	-3.617930e-02
-7.840000000000001e+01	-3.608413e-02
-7.830000000000000e+01	-3.598897e-02
-7.820000000000000e+01	-3.589380e-02
-7.809999999999999e+01	-3.579863e-02
-7.800000000000000e+01	-3.570347e-02
-7.790000000000001e+01	-3.560830e-02
-7.780000000000000e+01	-3.551313e-02
-7.770000000000000e+01	-3.541796e-02
-7.759999999999999e+01	-3.532280e-02
-7.750000000000000e+01	-3.522763e-02
-7.740000000000001e+01	-3.513246e-02
-7.730000000000000e+01	-3.503730e-02
-7.720000000000000e+01	-3.494213e-02
-7.709999999999999e+01	-3.484697e-02
-7.700000000000000e+01	-3.475180e-02
-7.690000000000001e+01	-3.465663e-02
-7.680000000000000e+01	-3.456147e-02
-7.670000000000000e+01	-3.446630e-02
-7.659999999999999e+01	-3.437114e-02
-7.650000000000000e+01	-3.427598e-02
-7.640000000000001e+01	-3.418081e-02
-7.630000000000000e+01	-3.408565e-02
-7.620000000000000e+01	-3.399048e-02
-7.609999999999999e+01	-3.389532e-02
-7.600000000000000e+01	-3.380015e-02
-7.590000000000001e+01	-3.370499e-02
-7.580000000000000e+01	-3.360983e-02
-7.570000000000000e+01	-3.351466e-02
-7.559999999999999e+01	-3.341950e-02
-7.550000000000000e+01	-3.332434e-02
-7.540000000000001e+01	-3.322918e-02
-7.530000000000000e+01	-3.313401e-02
-7.520000000000000e+01	-3.303885e-02
-7.509999999999999e+01	-3.294369e-02
-7.500000000000000e+01	-3.284853e-02
-7.490000000000001e+01	-3.275337e-02
-7.480000000000000e+01	-3.265820e-02
-7.470000000000000e+01	-3.256304e-02
-7.459999999999999e+01	-3.246788e-02
-7.450000000000000e+01	-3.237272e-02
-7.440000000000001e+01	-3.227756e-02
-7.430000000000000e+01	-3.218240e-02
-7.420000000000000e+01	-3.208724e-02
-7.409999999999999e+01	-3.199208e-02
-7.400000000000000e+01	-3.189692e-02
-7.390000000000001e+01	-3.180176e-02
-7.380000000000000e+01	-3.170660e-02
-7.370000000000000e+01	-3.161144e-02
-7.359999999999999e+01	-3.151628e-02
-7.350000000000000e+01	-3.142112e-02
-7.340000000000001e+01	-3.132597e-02
-7.330000000000000e+01	-3.123081e-02
-7.320000000000000e+01	-3.113565e-02
-7.309999999999999e+01	-3.104049e-02
-7.300000000000000e+01	-3.094534e-02
