time	V(n004)
3.957247393963055e-03	2.089024e+01
4.414836679677341e-03	2.089613e+01
4.872425965391627e-03	2.089865e+01
5.330015251105914e-03	2.089780e+01
5.787604536820199e-03	2.089357e+01
6.245193822534486e-03	2.088596e+01
6.702783108248771e-03	2.087499e+01
6.836711679677343e-03	2.087186e+01
6.970640251105915e-03	2.086655e+01
7.104568822534486e-03	2.085905e+01
7.238497393963057e-03	2.084936e+01
7.372425965391630e-03	2.083748e+01
7.506354536820201e-03	2.082342e+01
7.640283108248772e-03	2.080716e+01
7.835595608248772e-03	2.074597e+01
7.874658108248771e-03	2.071254e+01
7.913720608248770e-03	2.062884e+01
7.944187392036174e-03	2.042644e+01
7.976619242103487e-03	2.015147e+01
7.993756657797588e-03	2.000368e+01
8.008977507322419e-03	1.987283e+01
8.025413584282853e-03	1.973000e+01
8.058285738203722e-03	1.944423e+01
8.097348238203721e-03	1.910089e+01
8.136410738203721e-03	1.875565e+01
8.175473238203720e-03	1.840661e+01
8.214535738203719e-03	1.805577e+01
8.253598238203718e-03	1.770123e+01
8.292660738203717e-03	1.734501e+01
8.331723238203716e-03	1.698520e+01
8.370785738203716e-03	1.662381e+01
8.409848238203715e-03	1.625894e+01
8.448910738203714e-03	1.589259e+01
8.487973238203713e-03	1.552288e+01
8.527035738203712e-03	1.515180e+01
8.566098238203711e-03	1.477747e+01
8.605160738203711e-03	1.440188e+01
8.644223238203710e-03	1.402315e+01
8.683285738203709e-03	1.364329e+01
8.722348238203708e-03	1.326040e+01
8.761410738203707e-03	1.287648e+01
8.800473238203706e-03	1.248965e+01
8.839535738203706e-03	1.210191e+01
8.878598238203705e-03	1.171138e+01
8.917660738203704e-03	1.132006e+01
8.956723238203703e-03	1.092606e+01
8.995785738203702e-03	1.053138e+01
9.034848238203701e-03	1.013415e+01
9.073910738203701e-03	9.736364e+00
9.112973238203700e-03	9.336140e+00
9.152035738203699e-03	8.935482e+00
9.191098238203698e-03	8.532506e+00
9.230160738203697e-03	8.129217e+00
9.269223238203696e-03	7.723732e+00
9.293970887263586e-03	7.467029e+00
9.294500528055329e-03	7.461278e+00
9.295559809638816e-03	7.450256e+00
9.297678372805788e-03	7.428218e+00
9.301915499139734e-03	7.384124e+00
9.307148430448081e-03	7.329655e+00
9.313009397653203e-03	7.268620e+00
9.320210148073840e-03	7.193604e+00
9.329076398679491e-03	7.101182e+00
9.338851222785060e-03	6.999230e+00
9.358400870996198e-03	6.795120e+00
9.394547270539027e-03	6.417071e+00
9.433609770539026e-03	6.007587e+00
9.472672270539025e-03	5.597206e+00
9.511734770539024e-03	5.185975e+00
9.550797270539023e-03	4.773969e+00
9.589859770539022e-03	4.361238e+00
9.628922270539022e-03	3.947856e+00
9.667984770539021e-03	3.533874e+00
9.707047270539020e-03	3.119365e+00
9.746109770539019e-03	2.704381e+00
9.785172270539018e-03	2.288996e+00
9.824234770539017e-03	1.873260e+00
9.863297270539017e-03	1.457248e+00
9.902359770539016e-03	1.041011e+00
9.941422270539015e-03	6.246233e-01
9.980484770539014e-03	2.081355e-01
1.001954727053901e-02	-2.083769e-01
1.005860977053901e-02	-6.248636e-01
1.009767227053901e-02	-1.041249e+00
1.013673477053901e-02	-1.457483e+00
1.017579727053901e-02	-1.873489e+00
1.021485977053901e-02	-2.289218e+00
1.025392227053901e-02	-2.704594e+00
1.029298477053901e-02	-3.119564e+00
1.033204727053901e-02	-3.534046e+00
1.037110977053901e-02	-3.947863e+00
1.039519330885753e-02	-4.202382e+00
1.042108847796545e-02	-4.475193e+00
1.044811102024221e-02	-4.757094e+00
1.048032388675357e-02	-5.082871e+00
1.050880029238080e-02	-5.346102e+00
1.053973191064245e-02	-5.582063e+00
1.057401567690564e-02	-5.771439e+00
1.057889848940564e-02	-5.786961e+00
1.058866411440564e-02	-5.804357e+00
1.060819536440564e-02	-5.822281e+00
1.062936480623672e-02	-5.834717e+00
1.070748980623672e-02	-5.860776e+00
1.075213266337958e-02	-5.869260e+00
1.079677552052243e-02	-5.876853e+00
1.084141837766529e-02	-5.883555e+00
1.088606123480815e-02	-5.889367e+00
1.093070409195100e-02	-5.894287e+00
1.097534694909386e-02	-5.898316e+00
1.101998980623671e-02	-5.901454e+00
1.109811480623671e-02	-5.907178e+00
1.117623980623671e-02	-5.912149e+00
1.118112261873671e-02	-5.912439e+00
1.119088824373671e-02	-5.913013e+00
1.120551520358902e-02	-5.913855e+00
1.122190385897853e-02	-5.914778e+00
1.123873645814258e-02	-5.915702e+00
1.126630642409117e-02	-5.917170e+00
1.129291652683739e-02	-5.918534e+00
1.156635402683738e-02	-5.930269e+00
1.173376474112309e-02	-5.935711e+00
1.190117545540880e-02	-5.940669e+00
1.206858616969451e-02	-5.945142e+00
1.223599688398022e-02	-5.949130e+00
1.240340759826594e-02	-5.952634e+00
1.257081831255165e-02	-5.955653e+00
1.273822902683736e-02	-5.958188e+00
1.306747009826592e-02	-5.962594e+00
1.339671116969449e-02	-5.966286e+00
1.372595224112305e-02	-5.969262e+00
1.405519331255162e-02	-5.971524e+00
1.438443438398018e-02	-5.973071e+00
1.471367545540874e-02	-5.973902e+00
1.504291652683731e-02	-5.974020e+00
1.536099688398016e-02	-5.973761e+00
1.567907724112301e-02	-5.972829e+00
1.599715759826586e-02	-5.971224e+00
1.631523795540871e-02	-5.968946e+00
1.663331831255156e-02	-5.965995e+00
1.695139866969441e-02	-5.962370e+00
1.726947902683726e-02	-5.958073e+00
1.743688974112297e-02	-5.955528e+00
1.760430045540868e-02	-5.952494e+00
1.777171116969439e-02	-5.948971e+00
1.793912188398011e-02	-5.944960e+00
1.810653259826582e-02	-5.940460e+00
1.827394331255153e-02	-5.935471e+00
1.844135402683724e-02	-5.929994e+00
1.871479152683723e-02	-5.918158e+00
1.875385402683723e-02	-5.916117e+00
1.879291652683723e-02	-5.913960e+00
1.880946225167417e-02	-5.913008e+00
1.882180142695648e-02	-5.912282e+00
1.883140877146467e-02	-5.911707e+00
1.884041213698138e-02	-5.911160e+00
1.884979086703863e-02	-5.910582e+00
1.886854832715312e-02	-5.909398e+00
1.890606324738211e-02	-5.906913e+00
1.894512574738211e-02	-5.904139e+00
1.898418824738211e-02	-5.901145e+00
1.902325074738211e-02	-5.897890e+00
1.906231324738211e-02	-5.894326e+00
1.910137574738211e-02	-5.890386e+00
1.914043824738211e-02	-5.885980e+00
1.917950074738211e-02	-5.880978e+00
1.921856324738211e-02	-5.875193e+00
1.925762574738210e-02	-5.868327e+00
1.929668824738210e-02	-5.859873e+00
1.933575074738210e-02	-5.848866e+00
1.937481324738210e-02	-5.832680e+00
1.941387574738210e-02	-5.800900e+00
1.944342211173100e-02	-5.684782e+00
1.947620949530135e-02	-5.468552e+00
1.950303534905628e-02	-5.241185e+00
1.952995546598369e-02	-4.981271e+00
1.954923213917701e-02	-4.784783e+00
1.957238958242974e-02	-4.543870e+00
1.959701516864394e-02	-4.284841e+00
1.962307189281658e-02	-4.009699e+00
1.964362546818556e-02	-3.791987e+00
1.966771329148222e-02	-3.536854e+00
1.969116494155004e-02	-3.287906e+00
1.971927597878230e-02	-2.989609e+00
1.975152505113631e-02	-2.646763e+00
1.979058755113631e-02	-2.231483e+00
1.982965005113631e-02	-1.815540e+00
1.986871255113631e-02	-1.399651e+00
1.990777505113631e-02	-9.832251e-01
1.994683755113631e-02	-5.669774e-01
1.998590005113631e-02	-1.503189e-01
2.002496255113631e-02	2.660366e-01
2.006402505113631e-02	6.826771e-01
2.010308755113631e-02	1.098890e+00
2.014215005113630e-02	1.515261e+00
2.018121255113630e-02	1.931080e+00
2.022027505113630e-02	2.346933e+00
2.025933755113630e-02	2.762107e+00
2.029840005113630e-02	3.177190e+00
2.033746255113630e-02	3.591470e+00
2.037652505113630e-02	4.005533e+00
2.041558755113630e-02	4.418669e+00
2.045465005113630e-02	4.831463e+00
2.049371255113630e-02	5.243207e+00
2.053277505113630e-02	5.654484e+00
2.057183755113630e-02	6.064586e+00
2.061090005113629e-02	6.474098e+00
2.064996255113629e-02	6.882311e+00
2.068902505113629e-02	7.289812e+00
2.069241548994792e-02	7.325035e+00
2.069919636757118e-02	7.395618e+00
2.070582614887677e-02	7.464597e+00
2.071306312967951e-02	7.539855e+00
2.072428722587619e-02	7.656499e+00
2.073521037961538e-02	7.769925e+00
2.075271248197901e-02	7.951474e+00
2.078381726371016e-02	8.273527e+00
2.086194226371016e-02	9.078866e+00
2.095122797799587e-02	9.994283e+00
2.104051369228159e-02	1.090008e+01
2.112979940656730e-02	1.179625e+01
2.121908512085301e-02	1.268280e+01
2.130837083513873e-02	1.355973e+01
2.139765654942444e-02	1.442703e+01
2.148694226371015e-02	1.528472e+01
2.155948690656729e-02	1.597221e+01
2.163203154942443e-02	1.665055e+01
2.170457619228157e-02	1.731972e+01
2.177712083513872e-02	1.797972e+01
2.184966547799586e-02	1.863057e+01
2.192221012085300e-02	1.927225e+01
2.199475476371014e-02	1.990477e+01
2.202530424681061e-02	2.016759e+01
2.202774923764733e-02	2.018847e+01
2.203263921932076e-02	2.023015e+01
2.204241918266762e-02	2.031347e+01
2.205582426845819e-02	2.042616e+01
2.206886769527599e-02	2.052907e+01
2.209206497679083e-02	2.064897e+01
2.211580302809615e-02	2.069980e+01
2.215008294063700e-02	2.073561e+01
2.218531314285673e-02	2.075725e+01
2.222995599999959e-02	2.077316e+01
2.227459885714244e-02	2.078707e+01
2.231924171428530e-02	2.079899e+01
2.236388457142816e-02	2.080892e+01
2.240852742857101e-02	2.081685e+01
2.245317028571387e-02	2.082279e+01
2.249781314285672e-02	2.082673e+01
2.267638457142815e-02	2.084128e+01
2.285495599999958e-02	2.085384e+01
2.303352742857100e-02	2.086440e+01
2.321209885714242e-02	2.087297e+01
2.339067028571385e-02	2.087955e+01
2.356924171428527e-02	2.088413e+01
2.374781314285670e-02	2.088673e+01
2.416633992857098e-02	2.089350e+01
2.458486671428525e-02	2.089749e+01
2.500339349999953e-02	2.089871e+01
2.542192028571381e-02	2.089715e+01
